uid, timestamp, type, gold won, towers, left army, right army
cgs_4de0c3b26edb3, 0, request, 2259, -1 8 8 -1 7 8 -1 2 10 -1 3 10 -1 29 10 -1 28 10 -1 4 10 -1 5 10 -1 27 10 -1 26 10 -1 25 8 -1 24 8 -1 7 12 -1 7 14 -1 7 16 -1 24 12 -1 24 16 -1 24 14 -1 6 13 -1 6 15 -1 6 17 -1 26 13 -1 26 15 -1 26 16 -1 10 0 -1 10 4 -1 10 8 -1 20 1 -1 20 6 -1 5 2 -1 5 4 -1 24 2 -1 24 6 -1 24 4 -1 5 6 -1 9 14 -1 4 3 -1 4 7 -1 4 5 -1 26 3 -1 26 5 -1 26 7 -1 27 3 -1 4 1 -1 9 2 -1 27 0 , 2 5 8 12 1 17 13 10 2 10 16 1017 14 2 10 9 16 2 13 8 9 9 9 8 4 2 3 16 1018 12 1 12 12 9 7 15 15 8 17 2 9 2 16 17 16 14 1 1017 9 14 17 13 7 1018 1 16 11 2 1017 3 7 4 7 3 1018 1018 12 3 1 15 4 1017 7 8 2 15 11 7 8 1018 17 5 15 5 7 9 10, 12 1017 12 1017 17 15 5 7 17 8 1018 10 4 11 13 16 9 7 3 9 16 3 3 15 1 9 16 3 17 16 10 14 10 13 2 1017 5 1017 1018 16 4 3 1017 9 7 11 9 13 14 9 7 13 15 16 14 1017 14 4 1017 1 10 15 15 1 3 11 1018 10 2 9 14 3 15 16 11 1018 3 9
cgs_4de0c3b26edb3, 0, request, 2204, -1 11 0 -1 11 4 -1 11 7 -1 20 1 -1 20 4 -1 20 7 -1 8 6 -1 8 2 -1 22 2 -1 22 6 -1 6 12 -1 6 14 -1 6 16 -1 25 12 -1 25 14 -1 25 16 -1 7 2 -1 7 4 -1 7 7 -1 24 6 -1 24 3 -1 24 2 -1 8 8 -1 2 10 -1 3 10 -1 29 10 -1 28 10 -1 27 10 -1 26 10 -1 4 10 -1 5 10 -1 9 8 -1 10 8 -1 7 8 -1 24 8 -1 22 8 -1 25 8 -1 23 8 -1 21 8 -1 7 6 -1 24 7 , 16 9 14 12 2 3 15 2 11 1017 15 9 14 3 4 12 1 10 13 10 2 14 2 5 2 15 16 17 13 17 10 16 1018 16 9 5 1 9 1 12 16 9 1017 16 3 2 1018 8 4 5 1017 15 2 9 1017 12 11 7 4 9 5 10 9 16 1 13 17 10 17 14 9 9 1017 13 10 4 1018 14, 1 1018 5 13 2 1 14 14 15 4 3 1 11 4 16 14 7 4 9 3 4 15 11 17 10 1018 12 1017 7 14 4 3 1 1017 10 1018 1017 1018 11 14 15 16 10 2 1018 15 1 17 16 7 1018 15 7 4 1018 14 17 5 14 2 7 11 16 13 1 9 8 7 8 9 4 3 11 2 12 13 1 12 9 1018 3 5 1018 12
cgs_4de1902758d6f, 0, 2 16 1018 13 2 3 15 1018 1017 7 8 5 11 5 15 4 16 1 12 1018 10 5 16 8 1 15 1018 8 5 8 3 14 12 13 7 8 5 17 8 16 16 15 3 5 14 13 1017 13 1018 12 4 10 13 13 5 15 11 10 1 8 16 10 14 8 7 8 9 4 17 2 7 1017 11 10 10 14 16 7 8 4 1017 1 12 15 5 5 17 17 13 15 1018 3 8 2 4 1018 5 1 13, 2853, -1 6 10 -1 8 8 -1 24 10 -1 26 10 -1 23 8 -1 9 8 -1 27 10 -1 10 12 -1 22 8 -1 10 14 -1 10 16 -1 20 16 -1 20 14 -1 20 12 -1 20 3 -1 11 6 -1 11 0 -1 20 0 -1 20 6 -1 21 8 -1 22 4 -1 11 3 -1 10 8 -1 9 12 -1 9 14 -1 9 13 -1 9 15 -1 22 17 -1 9 16 -1 9 17 -1 22 14 -1 22 16 -1 22 15 -1 22 13 -1 20 11 -1 22 12 -1 10 4 -1 21 4 -1 11 11 -1 2 4 -1 2 1 -1 8 1 -1 8 4 -1 22 1 -1 26 2 -1 26 5 -1 6 1 -1 6 4 -1 27 8 -1 3 7 -1 29 6 -1 2 6 -1 24 3 -1 4 3 -1 6 7 -1 24 6 -1 4 0 -1 8 6 -1 28 6 -1 6 10 -1 24 10 -1 26 10 -1 8 8 -1 23 8 -1 9 8 -1 27 10 -1 10 12 -1 22 8 -1 10 16 -1 10 14 -1 20 16 -1 20 14 -1 20 12 -1 20 3 -1 11 0 -1 20 0 -1 11 6 -1 20 6 -1 22 4 -1 11 3 -1 21 8 -1 10 8 -1 9 12 -1 9 14 -1 9 13 -1 9 15 -1 22 17 -1 9 17 -1 9 16 -1 22 14 -1 22 16 -1 22 15 -1 22 13 -1 20 11 -1 22 12 -1 10 4 -1 11 11 -1 21 4 -1 2 1 -1 8 1 -1 2 4 -1 8 4 -1 22 1 -1 29 4 -1 26 2 -1 26 5 -1 6 1 -1 6 4 -1 27 8 -1 3 7 -1 2 6 -1 29 6 -1 24 3 -1 24 6 -1 4 3 -1 6 7 -1 4 0 -1 8 6 -1 28 6 , 14 1018 4 8 1018 12 15 12 10 10 14 13 5 15 17 1017 9 3 4 8 2 12 9 9 16 8 13 3 12 13 1017 8 7 9 8 9 16 1017 1017 13 13 1018 13 10 9 1017 14 15 15 15 14 3 3 9 4 4 10 5 13 10 1018 15 7 8 2 2 16 16 16 10 12 12 2 9 1 1018 7 14 17 14 1018 8 4 7 13 7 9 4 3 16 16 7 4 1018 11 14 12 8 1 16 9 8 1017 15 4, request
cgs_4de1902758d6f, 0, 963, 4 7 15 4 8 16 1 8 7 7 5 2 5 9 16 5 9 5 16 15 8 15 16 4 5 2 15 16 2 15 8 15 15 8 3 5 12, -1 6 10 -1 24 10 -1 8 8 -1 26 10 -1 23 8 -1 9 8 -1 27 10 -1 10 12 -1 10 16 -1 22 8 -1 10 14 -1 20 16 -1 20 14 -1 20 12 -1 20 3 -1 11 0 -1 11 6 -1 20 0 -1 20 6 -1 22 4 -1 21 8 -1 11 3 -1 10 8 -1 9 12 -1 9 14 -1 9 13 -1 9 15 -1 22 17 -1 9 17 -1 9 16 -1 22 14 -1 22 16 -1 22 15 -1 22 13 -1 20 11 -1 22 12 -1 10 4 -1 11 11 -1 21 4 -1 2 1 -1 8 1 -1 2 4 -1 8 4 -1 22 1 -1 26 2 -1 26 5 -1 6 1 -1 6 4 -1 27 8 -1 3 7 -1 2 6 -1 29 6 -1 24 3 -1 4 3 -1 24 6 -1 6 7 -1 4 0 -1 8 6 -1 28 6 -1 6 10 -1 24 10 -1 8 8 -1 26 10 -1 23 8 -1 9 8 -1 27 10 -1 10 12 -1 10 16 -1 22 8 -1 10 14 -1 20 16 -1 20 14 -1 20 12 -1 20 3 -1 11 0 -1 11 6 -1 20 0 -1 20 6 -1 22 4 -1 21 8 -1 11 3 -1 10 8 -1 9 12 -1 9 14 -1 9 13 -1 9 15 -1 22 17 -1 9 17 -1 9 16 -1 22 14 -1 22 16 -1 22 15 -1 22 13 -1 20 11 -1 22 12 -1 10 4 -1 11 11 -1 21 4 -1 2 1 -1 8 1 -1 2 4 -1 8 4 -1 22 1 -1 29 4 -1 26 2 -1 26 5 -1 6 1 -1 6 4 -1 27 8 -1 3 7 -1 2 6 -1 29 6 -1 24 3 -1 4 3 -1 24 6 -1 6 7 -1 4 0 -1 8 6 -1 28 6 , 3 7 9 4 9 15 7 1 9 9 2 15 3 4 8 3 1 2 5 15 1 8 5 9 3 4 9 5 16 3 9 1 2 15 5 9, request
cgs_4de1902758d6f, 0, 900, 8 16 8 4 5 3 3 16 4 2 3 12 2 1 8 8 15 15 15 7 5 15 4 5 12 9 8 9 9 15 7 8, -1 6 10 -1 24 10 -1 8 8 -1 26 10 -1 23 8 -1 9 8 -1 27 10 -1 10 12 -1 10 16 -1 22 8 -1 10 14 -1 20 16 -1 20 14 -1 20 12 -1 20 3 -1 11 0 -1 11 6 -1 20 0 -1 20 6 -1 22 4 -1 21 8 -1 11 3 -1 10 8 -1 9 12 -1 9 14 -1 9 13 -1 9 15 -1 22 17 -1 9 17 -1 9 16 -1 22 14 -1 22 16 -1 22 15 -1 22 13 -1 20 11 -1 22 12 -1 10 4 -1 11 11 -1 21 4 -1 2 1 -1 8 1 -1 2 4 -1 8 4 -1 22 1 -1 26 2 -1 26 5 -1 6 1 -1 6 4 -1 27 8 -1 3 7 -1 2 6 -1 29 6 -1 24 3 -1 4 3 -1 24 6 -1 6 7 -1 4 0 -1 8 6 -1 28 6 -1 6 10 -1 24 10 -1 8 8 -1 26 10 -1 23 8 -1 9 8 -1 27 10 -1 10 12 -1 10 16 -1 22 8 -1 10 14 -1 20 16 -1 20 14 -1 20 12 -1 20 3 -1 11 0 -1 11 6 -1 20 0 -1 20 6 -1 22 4 -1 21 8 -1 11 3 -1 10 8 -1 9 12 -1 9 14 -1 9 13 -1 9 15 -1 22 17 -1 9 17 -1 9 16 -1 22 14 -1 22 16 -1 22 15 -1 22 13 -1 20 11 -1 22 12 -1 10 4 -1 11 11 -1 21 4 -1 2 1 -1 8 1 -1 2 4 -1 8 4 -1 22 1 -1 29 4 -1 26 2 -1 26 5 -1 6 1 -1 6 4 -1 27 8 -1 3 7 -1 2 6 -1 29 6 -1 24 3 -1 4 3 -1 24 6 -1 6 7 -1 4 0 -1 8 6 -1 28 6 , 3 3 4 16 9 8 3 8 3 3 15 7 5 5 15 9 8 4 5 3 2 8 1 5 2 1 8 15 8 12 3 2 8 12 5 4, request
cgs_4de1902758d6f, 0, 900, 2 4 9 4 5 12 4 8 4 16 1 16 16 1 9 5 1 4 8 3 7 4 8 15 1 5 16 8 5 2 15 16, -1 6 10 -1 24 10 -1 8 8 -1 26 10 -1 23 8 -1 9 8 -1 27 10 -1 10 12 -1 10 16 -1 22 8 -1 10 14 -1 20 16 -1 20 14 -1 20 12 -1 20 3 -1 11 0 -1 11 6 -1 20 0 -1 20 6 -1 22 4 -1 21 8 -1 11 3 -1 10 8 -1 9 12 -1 9 14 -1 9 13 -1 9 15 -1 22 17 -1 9 17 -1 9 16 -1 22 14 -1 22 16 -1 22 15 -1 22 13 -1 20 11 -1 22 12 -1 10 4 -1 11 11 -1 21 4 -1 2 1 -1 8 1 -1 2 4 -1 8 4 -1 22 1 -1 26 2 -1 26 5 -1 6 1 -1 6 4 -1 27 8 -1 3 7 -1 2 6 -1 29 6 -1 24 3 -1 4 3 -1 24 6 -1 6 7 -1 4 0 -1 8 6 -1 28 6 -1 6 10 -1 24 10 -1 8 8 -1 26 10 -1 23 8 -1 9 8 -1 27 10 -1 10 12 -1 10 16 -1 22 8 -1 10 14 -1 20 16 -1 20 14 -1 20 12 -1 20 3 -1 11 0 -1 11 6 -1 20 0 -1 20 6 -1 22 4 -1 21 8 -1 11 3 -1 10 8 -1 9 12 -1 9 14 -1 9 13 -1 9 15 -1 22 17 -1 9 17 -1 9 16 -1 22 14 -1 22 16 -1 22 15 -1 22 13 -1 20 11 -1 22 12 -1 10 4 -1 11 11 -1 21 4 -1 2 1 -1 8 1 -1 2 4 -1 8 4 -1 22 1 -1 29 4 -1 26 2 -1 26 5 -1 6 1 -1 6 4 -1 27 8 -1 3 7 -1 2 6 -1 29 6 -1 24 3 -1 4 3 -1 24 6 -1 6 7 -1 4 0 -1 8 6 -1 28 6 , 8 1 9 15 7 15 8 15 4 4 8 4 1 3 3 16 15 15 15 7 4 7 3 16 15 15 5 15 7 4 16 3 8 8, request
cgs_4de1902758d6f, 0, 798, 1 5 16 7 8 8 5 2 9 3 4 16 15 3 8 3 16 4 3 2 1 1 9 12 8 9 1 9 2, -1 6 10 -1 24 10 -1 8 8 -1 26 10 -1 23 8 -1 9 8 -1 27 10 -1 10 12 -1 10 16 -1 22 8 -1 10 14 -1 20 16 -1 20 14 -1 20 12 -1 20 3 -1 11 0 -1 11 6 -1 20 0 -1 20 6 -1 22 4 -1 21 8 -1 11 3 -1 10 8 -1 9 12 -1 9 14 -1 9 13 -1 9 15 -1 22 17 -1 9 17 -1 9 16 -1 22 14 -1 22 16 -1 22 15 -1 22 13 -1 20 11 -1 22 12 -1 10 4 -1 11 11 -1 21 4 -1 2 1 -1 8 1 -1 2 4 -1 8 4 -1 22 1 -1 26 2 -1 26 5 -1 6 1 -1 6 4 -1 27 8 -1 3 7 -1 2 6 -1 29 6 -1 24 3 -1 4 3 -1 24 6 -1 6 7 -1 4 0 -1 8 6 -1 28 6 -1 6 10 -1 24 10 -1 8 8 -1 26 10 -1 23 8 -1 9 8 -1 27 10 -1 10 12 -1 10 16 -1 22 8 -1 10 14 -1 20 16 -1 20 14 -1 20 12 -1 20 3 -1 11 0 -1 11 6 -1 20 0 -1 20 6 -1 22 4 -1 21 8 -1 11 3 -1 10 8 -1 9 12 -1 9 14 -1 9 13 -1 9 15 -1 22 17 -1 9 17 -1 9 16 -1 22 14 -1 22 16 -1 22 15 -1 22 13 -1 20 11 -1 22 12 -1 10 4 -1 11 11 -1 21 4 -1 2 1 -1 8 1 -1 2 4 -1 8 4 -1 22 1 -1 29 4 -1 26 2 -1 26 5 -1 6 1 -1 6 4 -1 27 8 -1 3 7 -1 2 6 -1 29 6 -1 24 3 -1 4 3 -1 24 6 -1 6 7 -1 4 0 -1 8 6 -1 28 6 , 16 5 3 16 5 8 5 3 15 5 1 4 15 1 12 15 15 16 8 4 9 4 5 5 4 16 5 8 15 4, request
cgs_4de1902758d6f, 0, 719, 4 9 1 4 15 3 15 3 9 15 2 3 9 4 15 5 15 2 7 3 5 3 1 3 3 16, -1 6 10 -1 24 10 -1 8 8 -1 26 10 -1 23 8 -1 9 8 -1 27 10 -1 10 12 -1 10 16 -1 22 8 -1 10 14 -1 20 16 -1 20 14 -1 20 12 -1 20 3 -1 11 0 -1 11 6 -1 20 0 -1 20 6 -1 22 4 -1 21 8 -1 11 3 -1 10 8 -1 9 12 -1 9 14 -1 9 13 -1 9 15 -1 22 17 -1 9 17 -1 9 16 -1 22 14 -1 22 16 -1 22 15 -1 22 13 -1 20 11 -1 22 12 -1 10 4 -1 11 11 -1 21 4 -1 2 1 -1 8 1 -1 2 4 -1 8 4 -1 22 1 -1 26 2 -1 26 5 -1 6 1 -1 6 4 -1 27 8 -1 3 7 -1 2 6 -1 29 6 -1 24 3 -1 4 3 -1 24 6 -1 6 7 -1 4 0 -1 8 6 -1 28 6 -1 6 10 -1 24 10 -1 8 8 -1 26 10 -1 23 8 -1 9 8 -1 27 10 -1 10 12 -1 10 16 -1 22 8 -1 10 14 -1 20 16 -1 20 14 -1 20 12 -1 20 3 -1 11 0 -1 11 6 -1 20 0 -1 20 6 -1 22 4 -1 21 8 -1 11 3 -1 10 8 -1 9 12 -1 9 14 -1 9 13 -1 9 15 -1 22 17 -1 9 17 -1 9 16 -1 22 14 -1 22 16 -1 22 15 -1 22 13 -1 20 11 -1 22 12 -1 10 4 -1 11 11 -1 21 4 -1 2 1 -1 8 1 -1 2 4 -1 8 4 -1 22 1 -1 29 4 -1 26 2 -1 26 5 -1 6 1 -1 6 4 -1 27 8 -1 3 7 -1 2 6 -1 29 6 -1 24 3 -1 4 3 -1 24 6 -1 6 7 -1 4 0 -1 8 6 -1 28 6 , 16 4 4 9 8 5 5 4 3 3 1 3 15 1 2 9 5 7 1 15 3 12 12 4 5 3 1 4, request
cgs_4de1902758d6f, 0, 885, 4 8 3 16 5 3 15 4 15 4 12 5 2 8 5 3 2 16 8 1 4 15 2 15 1 12 4 5 1 2 8 1 5 2 8, -1 6 10 -1 24 10 -1 8 8 -1 26 10 -1 23 8 -1 9 8 -1 27 10 -1 10 12 -1 10 16 -1 22 8 -1 10 14 -1 20 16 -1 20 14 -1 20 12 -1 20 3 -1 11 0 -1 11 6 -1 20 0 -1 20 6 -1 22 4 -1 21 8 -1 11 3 -1 10 8 -1 9 12 -1 9 14 -1 9 13 -1 9 15 -1 22 17 -1 9 17 -1 9 16 -1 22 14 -1 22 16 -1 22 15 -1 22 13 -1 20 11 -1 22 12 -1 10 4 -1 11 11 -1 21 4 -1 2 1 -1 8 1 -1 2 4 -1 8 4 -1 22 1 -1 26 2 -1 26 5 -1 6 1 -1 6 4 -1 27 8 -1 3 7 -1 2 6 -1 29 6 -1 24 3 -1 4 3 -1 24 6 -1 6 7 -1 4 0 -1 8 6 -1 28 6 -1 6 10 -1 24 10 -1 8 8 -1 26 10 -1 23 8 -1 9 8 -1 27 10 -1 10 12 -1 10 16 -1 22 8 -1 10 14 -1 20 16 -1 20 14 -1 20 12 -1 20 3 -1 11 0 -1 11 6 -1 20 0 -1 20 6 -1 22 4 -1 21 8 -1 11 3 -1 10 8 -1 9 12 -1 9 14 -1 9 13 -1 9 15 -1 22 17 -1 9 17 -1 9 16 -1 22 14 -1 22 16 -1 22 15 -1 22 13 -1 20 11 -1 22 12 -1 10 4 -1 11 11 -1 21 4 -1 2 1 -1 8 1 -1 2 4 -1 8 4 -1 22 1 -1 29 4 -1 26 2 -1 26 5 -1 6 1 -1 6 4 -1 27 8 -1 3 7 -1 2 6 -1 29 6 -1 24 3 -1 4 3 -1 24 6 -1 6 7 -1 4 0 -1 8 6 -1 28 6 , 2 3 15 5 3 9 2 5 16 9 9 3 8 2 8 8 8 4 4 1 8 2 16 15 3 16 4 16 5 15 5 15 15, request
cgs_4de1902758d6f, 0, 832, 7 5 9 2 3 5 3 5 16 2 8 16 15 3 16 8 7 3 9 12 5 5 4 4 5 1 9 16 9 9 4 1 3 2 5 9 16 3, -1 6 10 -1 24 10 -1 8 8 -1 26 10 -1 23 8 -1 9 8 -1 27 10 -1 10 12 -1 10 16 -1 22 8 -1 10 14 -1 20 16 -1 20 14 -1 20 12 -1 20 3 -1 11 0 -1 11 6 -1 20 0 -1 20 6 -1 22 4 -1 21 8 -1 11 3 -1 10 8 -1 9 12 -1 9 14 -1 9 13 -1 9 15 -1 22 17 -1 9 17 -1 9 16 -1 22 14 -1 22 16 -1 22 15 -1 22 13 -1 20 11 -1 22 12 -1 10 4 -1 11 11 -1 21 4 -1 2 1 -1 8 1 -1 2 4 -1 8 4 -1 22 1 -1 26 2 -1 26 5 -1 6 1 -1 6 4 -1 27 8 -1 3 7 -1 2 6 -1 29 6 -1 24 3 -1 4 3 -1 24 6 -1 6 7 -1 4 0 -1 8 6 -1 28 6 -1 6 10 -1 24 10 -1 8 8 -1 26 10 -1 23 8 -1 9 8 -1 27 10 -1 10 12 -1 10 16 -1 22 8 -1 10 14 -1 20 16 -1 20 14 -1 20 12 -1 20 3 -1 11 0 -1 11 6 -1 20 0 -1 20 6 -1 22 4 -1 21 8 -1 11 3 -1 10 8 -1 9 12 -1 9 14 -1 9 13 -1 9 15 -1 22 17 -1 9 17 -1 9 16 -1 22 14 -1 22 16 -1 22 15 -1 22 13 -1 20 11 -1 22 12 -1 10 4 -1 11 11 -1 21 4 -1 2 1 -1 8 1 -1 2 4 -1 8 4 -1 22 1 -1 29 4 -1 26 2 -1 26 5 -1 6 1 -1 6 4 -1 27 8 -1 3 7 -1 2 6 -1 29 6 -1 24 3 -1 4 3 -1 24 6 -1 6 7 -1 4 0 -1 8 6 -1 28 6 , 1 2 1 8 15 4 2 15 4 16 16 1 1 3 1 9 4 4 9 9 5 7 15 3 2, request
