uid, timestamp, left army, gold won, towers, right army, type
cgs_4de1902758d6f, 0, 13 10 10 9 7 8 5 15 4 9 8 8 1 1 7 7 5 13 8 7 14 3 1017 8 11 2 15 13 14 14 5 13 17 9 16 13 5 3 13 9 15 1 10 9 4 14 1018 11 5 1018 5 16 4 16 12 3 1 15 4 16 15 4 10 4 5 11 1 8 12 17 14 2 17 9 9 1017 12 1017 17 15 14 1018 4 5 7 10 14 8 7 7 12 1017 14 11 10 1018 16 16 16 11 7 12, 2893, -1 6 10 -1 8 8 -1 24 10 -1 26 10 -1 9 8 -1 23 8 -1 27 10 -1 10 12 -1 22 8 -1 10 14 -1 10 16 -1 20 14 -1 20 16 -1 20 12 -1 20 3 -1 11 6 -1 11 0 -1 20 6 -1 20 0 -1 21 8 -1 22 4 -1 11 3 -1 10 8 -1 9 12 -1 9 14 -1 9 13 -1 9 15 -1 22 17 -1 9 16 -1 9 17 -1 22 14 -1 22 16 -1 22 15 -1 22 13 -1 20 11 -1 22 12 -1 10 4 -1 21 4 -1 11 11 -1 2 4 -1 2 1 -1 8 1 -1 8 4 -1 22 1 -1 26 2 -1 26 5 -1 6 1 -1 6 4 -1 3 7 -1 27 8 -1 29 6 -1 2 6 -1 24 3 -1 4 3 -1 6 7 -1 24 6 -1 4 0 -1 8 6 -1 28 6 -1 6 10 -1 24 10 -1 26 10 -1 8 8 -1 23 8 -1 27 10 -1 9 8 -1 10 12 -1 22 8 -1 10 14 -1 10 16 -1 20 16 -1 20 14 -1 20 12 -1 20 3 -1 11 0 -1 20 0 -1 11 6 -1 20 6 -1 22 4 -1 21 8 -1 11 3 -1 10 8 -1 9 12 -1 9 14 -1 9 13 -1 9 15 -1 9 17 -1 22 17 -1 9 16 -1 22 14 -1 22 16 -1 22 15 -1 22 13 -1 20 11 -1 10 4 -1 22 12 -1 11 11 -1 21 4 -1 2 1 -1 8 1 -1 2 4 -1 8 4 -1 22 1 -1 26 2 -1 26 5 -1 6 1 -1 6 4 -1 3 7 -1 27 8 -1 2 6 -1 29 6 -1 24 3 -1 24 6 -1 4 3 -1 6 7 -1 4 0 -1 8 6 -1 28 6 , 1 8 8 11 4 13 13 14 10 16 15 16 1 3 12 11 16 17 15 1017 12 4 1018 13 14 1018 10 15 5 1017 10 8 11 8 8 9 12 8 1017 3 10 3 9 12 1018 3 12 4 1 15 1018 8 5 7 1017 16 1017 17 12 9 14 7 10 1017 9 12 10 3 1018 11 9 11 8 9 3 5 16 4 1017 15 12 15 7 8 8 1017 4 13 8 14 14 12 9 5 4 15 8 5 7 13 1 4 1018, request
cgs_4de59757b935b, 0, 1 4 3 4 2 3 1 2 2 8 1 3 8, -1 11 9 -1 20 9 -1 8 11 -1 9 10 -1 22 10 -1 23 11 -1 21 10 -1 10 9 , 337, 3 3 3 3 2 8 8 1 3 8 8 2 3 8 3, request
cgs_4de59757b935b, 0, 1 3 2 2 3 1 3 2 8, -1 11 9 -1 20 9 -1 21 9 -1 10 9 -1 22 9 -1 23 11 -1 9 9 -1 8 11 , 303, 8 8 4 1 8 4 4 8 3 2 3 2 2 1 8 1 2, request
cgs_4de59757b935b, 0, 1 1 1 8 3 2 2 2 2 2 3 1 1 3, -1 11 9 -1 20 9 -1 21 9 -1 10 9 -1 9 9 -1 22 9 -1 8 11 -1 23 11 , 276, 1 8 3 3 8 1 1 2 3 2 1 3, request
cgs_4de59757b935b, 0, 1 2 2 2 8 1 8 3 1, -1 11 9 -1 20 9 -1 21 9 -1 10 9 -1 9 9 -1 22 9 -1 8 11 , 283, 8 1 8 1 8 8 3 1 2 8 1 8 1 1 1 8 2, request
cgs_4de59757b935b, 0, 1 8 2 1 1 1 1 2 3 8 3 2 8, -1 20 9 -1 21 9 -1 11 9 -1 22 9 -1 10 9 -1 23 11 -1 9 9 , 240, 8 8 1 2 1 2 2 2 3 1, request
cgs_4de59757b935b, 0, 2 1 3 2 2 8 2 2, -1 20 9 -1 21 9 -1 11 9 -1 10 9 -1 22 9 -1 9 10 , 233, 1 2 1 2 2 2 1 1 2 8 1 1 2 3 1 3, request
cgs_4de59757b935b, 0, 2 1 2 2 2 2 2 2 1 2 8, -1 20 9 -1 21 9 -1 11 9 -1 10 9 -1 22 9 -1 9 9 , 217, 8 1 2 8 1 2 2 8 8 2 2 2, request
cgs_4de59757b935b, 0, 8 2 8 1 1 2 2 8 1 8, -1 20 9 -1 21 9 -1 11 9 -1 10 9 -1 22 9 -1 3 11 -1 28 11 , 234, 8 8 2 2 2 2 2 2 8 1 8 1 2, request
cgs_4de59757b935b, 0, 2 1 2 2 2 2 2 2, -1 20 9 -1 21 9 -1 11 9 -1 10 9 -1 9 11 , 166, 2 1 1 1 1 2 2 1 2 1 2, request
