uid, timestamp, type, left army, right army, towers, gold lost
cgs_4de0c3b26edb3, 0, request, 10 3 16 2 1018 12 16 15 10 10 1 8 4 3 1017 16 1017 9 12 9 11 1017 10 10 3 4 2 11 12 4 2 11 5 7 9 16 8 9 8 14 1018 5 12 4 1018 7 11 16 17 15 14 4 12 7 12 9 1 15 15 1017 1 15 14 7 7 14 16 2 10 4 14 9 10 12 1017, 4 2 9 13 5 2 3 4 14 3 7 9 1017 5 7 1 7 12 1018 8 4 13 1 10 13 1018 2 1 5 14 10 1017 1 5 1018 4 8 9 10 16 2 14 15 15 9 1 8 17 16 3 15 15 7 1017 12 9 8 16 12 10 15 16 10 17 12 16 7 5 12 9 11 12 15 17 1 9 2 8 10 16 3 1018 7 4 5 10, -1 8 8 -1 9 8 -1 24 8 , 3065
cgs_4de0c3b26edb3, 0, request, -1 8 8 -1 9 8 -1 24 8 , 10 15 8 1 7 3 3 7 17 1017 2 16 7 3 1018 15 15 2 13 2 2 11 14 1018 16 7 16 3 4 4 1 1017 7 1 5 13 17 1 5 16 1017 7 7 13 17 5 10 4 2 14 5 14 8 15 7 16 1018 11 11 1018 5 16 16 3 1018 8 2 7 1017 16 4 14 1 15 8 5 1 1 3 16 7 5 1018 2 1018 7 8 10, 7 14 4 4 2 10 1 7 7 3 2 15 13 1017 3 1018 1 4 8 4 1 9 7 2 11 2 1 14 2 15 1017 1018 12 15 4 4 16 8 17 3 11 12 7 9 9 9 11 15 9 11 3 1017 9 1017 8 8 1 12 7 5 13 3 9 7 16 8 16 11 11 13 12 13 17 5 9 16 4 9 16 14 1017 15 2 17 3 14 8 3, 4379
cgs_4de0c3b26edb3, 0, request, -1 8 8 -1 9 8 -1 24 8 , 12 2 5 1 14 14 1 4 7 4 5 17 4 17 4 1017 4 10 17 1 14 12 3 3 14 12 3 2 9 5 12 7 8 7 12 11 16 5 9 7 1018 11 9 2 16 1018 2 17 4 9 17 9 11 1 14 12 1 1017 9 3 2 1017 4 12 5 12 1 14 10 10 12 15 1017 17 15 15 1 11 1017 16 4 16 17 10 13 3 15 1018 9 13 11 12 1018 14 3 12 13 1018 4 15 1018, 5 5 2 2 16 10 12 15 1017 1018 1 10 2 16 14 3 1 11 17 5 7 2 16 15 1018 9 8 5 12 3 1 10 1018 12 8 2 10 1018 9 1 10 4 5 11 7 3 5 1017 14 9 2 15 1 1 3 13 17 1 1017 5 3 11 11 1017 2 12 7 8 7 3 14 13 1017 5 14 13, 6256
cgs_4de0c3b26edb3, 0, request, 7968, -1 5 0 -1 5 2 -1 5 4 -1 5 6 -1 7 3 -1 7 5 -1 22 2 -1 22 5 -1 24 4 -1 24 1 -1 24 6 -1 22 7 -1 26 2 -1 26 4 -1 26 6 -1 4 4 -1 4 6 -1 4 1 -1 4 8 -1 7 12 -1 7 14 -1 7 16 -1 25 12 -1 25 14 -1 25 16 -1 27 13 -1 6 13 -1 6 15 -1 6 17 -1 27 15 -1 27 17 -1 9 8 -1 10 8 -1 8 8 -1 25 8 -1 24 8 -1 4 10 -1 2 10 -1 3 10 -1 5 10 -1 29 10 -1 28 10 -1 26 10 -1 27 10 , 12 1017 14 13 7 5 1 11 14 3 10 1 17 7 11 1017 17 1018 8 12 7 3 13 8 8 1018 2 13 17 17 7 1 1018 1017 12 7 1017 1017 1 1018 14 5 1 7 1018 7 15 9 14 3 14 1017 4 17 17 9 4 12 15 3 4 1017 10 10 9 1017 16 8 17 1017 3 3 15 10 13 5 15 5 1017 16, 16 9 12 16 15 16 1018 1 10 3 2 5 13 1 9 10 14 7 15 3 14 16 4 13 12 10 1018 7 7 13 7 13 7 13 1018 4 15 9 4 16 13 12 3 10 5 1017 2 12 2 15 9 13 1018 5 7 1017 11 14 8 2 8 3 1017 3 3 11 1017 15 13 14 16 3 16 3 9 1018 1 2 5 8 14 9 5 14 1017 1018 12 14 13 1017 12 13 1017 1 15 4 5 2 8 2
cgs_4de0c3b26edb3, 0, request, -1 8 6 -1 23 0 -1 23 2 -1 23 4 -1 23 6 -1 25 12 -1 25 14 -1 25 16 -1 10 8 -1 24 8 -1 28 10 -1 27 10 -1 26 10 -1 25 8 -1 6 8 -1 7 8 -1 8 8 -1 9 8 -1 23 8 -1 8 4 -1 8 2 -1 8 0 -1 4 10 -1 3 10 -1 2 10 -1 5 10 -1 29 10 -1 7 12 -1 7 14 -1 7 16 -1 9 16 -1 6 14 -1 6 16 -1 6 13 -1 6 15 -1 6 17 -1 9 14 -1 7 5 -1 7 3 -1 7 1 -1 25 3 , 15 11 11 9 12 3 12 12 3 8 10 3 10 1017 15 9 1018 1018 7 8 13 17 5 7 12 14 9 11 14 11 3 2 1 7 12 15 7 16 1018 14 15 3 13 15 1 1017 10 8 15 13 16 16 1 5 8 1018 2 12 3 4 17 1017 4 4 1017 8 7 7 15 10 14 10 1017 11 8 1 12 8 5 13 1018 4 9 17 16 16 5 16 8, 1017 8 5 1 10 7 15 4 13 17 1018 7 1 13 11 9 3 5 2 3 1018 2 14 14 7 4 13 1 15 17 15 11 16 2 13 15 15 17 14 7 12 17 4 2 14 13 12 16 1017 15 3 4 1018 17 14 16 9 5 1018 10 4 1 11 16 5 14 16 13 16 1017 5 1017 7 1 12 15 5 11, 11384
cgs_4de0c3b26edb3, 0, request, -1 8 0 -1 8 2 -1 8 4 -1 8 6 -1 23 0 -1 23 2 -1 23 4 -1 23 6 -1 5 12 -1 5 14 -1 5 16 -1 25 12 -1 25 14 -1 25 16 -1 11 8 -1 10 8 -1 20 8 -1 21 8 -1 24 8 -1 2 10 -1 3 10 -1 29 10 -1 28 10 -1 27 10 -1 26 10 -1 4 10 -1 5 10 -1 25 8 -1 6 8 -1 7 8 -1 8 8 -1 9 8 -1 23 8 -1 22 8 , 15 11 11 9 12 3 12 12 3 8 10 3 10 1017 15 9 1018 1018 7 8 13 17 5 7 12 14 9 11 14 11 3 2 1 7 12 15 7 16 1018 14 15 3 13 15 1 1017 10 8 15 13 16 16 1 5 8 1018 2 12 3 4 17 1017 4 4 1017 8 7 7 15 10 14 10 1017 11 8 1 12 8 5 13 1018 4 9 17 16 16 5 16 8, 1017 8 5 1 10 7 15 4 13 17 1018 7 1 13 11 9 3 5 2 3 1018 2 14 14 7 4 13 1 15 17 15 11 16 2 13 15 15 17 14 7 12 17 4 2 14 13 12 16 1017 15 3 4 1018 17 14 16 9 5 1018 10 4 1 11 16 5 14 16 13 16 1017 5 1017 7 1 12 15 5 11, 16262
cgs_4de5259531fe7, 0, 12 5 1018 8 10 10 5 16 1 2 2 1018 13 1 2 13 3 10 5 14 11 11 9 5 12 4 4 14 5 1017 1017 12 10 11 10 8 1017 12 11 4 10 4 3 3 13 1 2 2 5 1017 1017 1018 10 16 1 7 2 11 1 13 16 1017 16 4 14 10 8 13 1017 14 9 10 7 16 1017 16 1018 11 8 14 10 7 1017 9 9 9 8 1018 1018 3, 2 13 12 9 8 1 7 4 17 10 7 4 10 1018 5 11 14 3 1017 1 13 4 3 8 11 1018 3 8 4 14 8 3 12 16 7 16 7 1 4 11 1018 10 16 13 16 7 11 8 1 5 15 8 7 8 15 11 4 1018 14 2 16 1 9 4 4 14 3 12 1017 17 4 1017 13 15 1018 1018 13 1 2 7 14 2 9 13 17, -1 27 13 -1 5 6 -1 8 8 -1 9 8 -1 7 8 -1 25 12 -1 7 16 -1 7 12 -1 7 14 -1 25 16 -1 25 5 -1 6 5 -1 26 3 -1 25 1 -1 26 6 -1 26 0 -1 29 5 -1 29 2 -1 29 4 -1 29 6 -1 29 1 -1 2 4 -1 22 8 -1 23 8 -1 24 8 -1 5 0 -1 6 1 -1 5 3 -1 2 6 -1 26 10 -1 25 10 -1 6 10 -1 5 10 -1 2 11 -1 29 11 -1 2 2 -1 2 8 -1 6 14 -1 6 16 -1 6 13 -1 25 14 -1 27 15 -1 27 17 -1 3 10 -1 28 10 -1 27 10 -1 4 10 -1 21 8 , 16646, request
cgs_4de5284dc070a, 0, friend, 10 10 10 10 10 10 10 10 10 10 10 7 7 7 7 7 7 7 7 7 7 7 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5, -1 23 8 -1 24 10 -1 5 12 -1 25 12 -1 25 14 -1 11 0 -1 11 3 -1 11 6 -1 20 6 -1 4 12 -1 27 12 -1 27 13 -1 27 14 -1 27 15 -1 21 15 -1 8 16 -1 23 16 -1 22 8 -1 26 11 -1 20 11 -1 21 11 -1 4 10 -1 6 10 -1 8 8 -1 9 8 -1 20 0 -1 20 3 -1 3 4 -1 3 2 -1 27 2 -1 27 4 -1 2 2 -1 2 1 -1 2 0 -1 2 3 -1 2 4 -1 2 5 -1 29 5 -1 29 4 -1 29 2 -1 29 3 -1 29 0 -1 29 1 -1 3 11 -1 5 14 -1 7 13 -1 23 13 -1 4 13 -1 4 14 -1 4 15 -1 26 16 -1 4 16 , 13464, 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 5 5 5 5 1018 1018 1018 1018 1018 1018 1018 1018 1018 1018 1018 1018 1018 1018 1018 1018 16 16 16 17 17 17 17 1017 1017 1018 1018 1018 1018 1018 1018 1018 1018 1018 1018 1018 1018
cgs_4de5259531fe7, 0, 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 5 5 5 5 5 5 5 5 5 5 5 5 5 5 7 7 7 7 7 7 7 7 7 7 7 10 10 10 10 10 10 10 10 10 10 10, 1018 1018 1018 1018 1018 1018 1018 1018 1018 1018 1018 1018 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14, -1 27 13 -1 11 3 -1 8 8 -1 9 8 -1 7 8 -1 25 12 -1 7 16 -1 7 12 -1 7 14 -1 25 16 -1 25 14 -1 10 8 -1 20 8 -1 11 6 -1 20 4 -1 20 0 -1 21 7 -1 21 3 -1 21 0 -1 23 5 -1 23 2 -1 23 3 -1 23 6 -1 23 1 -1 23 4 -1 22 8 -1 23 8 -1 24 8 -1 11 0 -1 10 1 -1 10 4 -1 9 5 -1 8 6 -1 26 10 -1 25 10 -1 6 10 -1 27 10 -1 5 10 -1 4 10 -1 2 11 -1 29 11 -1 28 10 -1 3 10 , 23780, friend
cgs_4de5284dc070a, 0, friend, 1018 1018 1018 1018 1018 1018 1018 1018 1018 1018 1018 1018 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14, -1 23 8 -1 24 10 -1 5 12 -1 5 14 -1 25 12 -1 25 14 -1 11 0 -1 11 3 -1 11 6 -1 20 6 -1 4 12 -1 4 14 -1 27 12 -1 27 13 -1 27 14 -1 27 15 -1 21 15 -1 10 15 -1 8 16 -1 9 13 -1 23 13 -1 23 16 -1 22 8 -1 26 11 -1 29 11 -1 20 11 -1 21 11 -1 27 10 -1 4 10 -1 6 10 -1 8 8 -1 9 8 -1 20 3 -1 20 0 -1 21 4 -1 21 1 -1 10 1 -1 10 4 -1 3 4 -1 3 2 -1 27 2 -1 27 4 -1 2 2 -1 2 1 -1 2 0 -1 2 3 -1 2 4 -1 2 5 -1 29 5 -1 29 4 -1 29 2 -1 29 3 -1 29 0 -1 29 1 -1 3 11 -1 4 13 , 9043, 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 1018 1018 17 17 17 17 17 17 17 17 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 5 5 5 5 5 5 5 5
